date,hour,filename,gz_bytes,raw_bytes,events,max_line_bytes,big_lines,empty_lines,elapsed_sec
2020-08-12,0,2020-08-12-0.json.gz,40504449,283245800,79951,239911,0,0,1.0
2020-08-12,1,2020-08-12-1.json.gz,38757011,274581175,83163,267506,0,0,1.02
2020-08-12,2,2020-08-12-2.json.gz,40613315,286504619,88760,267612,0,0,1.0
2020-08-12,3,2020-08-12-3.json.gz,39798400,282588919,84187,292803,0,0,0.98
2020-08-12,4,2020-08-12-4.json.gz,40224342,291160915,78829,135078,0,0,1.0
2020-08-12,5,2020-08-12-5.json.gz,53571076,399658807,90169,409757,0,0,1.36
2020-08-12,6,2020-08-12-6.json.gz,52632252,381589116,97499,235643,0,0,1.24
2020-08-12,7,2020-08-12-7.json.gz,57000301,411624016,105405,294238,0,0,1.03
2020-08-12,8,2020-08-12-8.json.gz,63595102,462902020,115148,238112,0,0,1.15
2020-08-12,9,2020-08-12-9.json.gz,54724403,397883290,109113,269097,0,0,0.99
2020-08-12,10,2020-08-12-10.json.gz,53384937,388527650,102688,238280,0,0,0.95
2020-08-12,11,2020-08-12-11.json.gz,53832138,387024914,104025,322983,0,0,0.96
2020-08-12,12,2020-08-12-12.json.gz,58317837,415971685,117036,271047,0,0,1.04
2020-08-12,13,2020-08-12-13.json.gz,67384815,484381026,124274,220890,0,0,1.19
2020-08-12,14,2020-08-12-14.json.gz,73934353,539562394,136958,427792,0,0,1.34
2020-08-12,15,2020-08-12-15.json.gz,67668890,495138702,128060,241417,0,0,1.22
2020-08-12,16,2020-08-12-16.json.gz,62472115,451825825,114665,1887999,1,0,1.11
2020-08-12,17,2020-08-12-17.json.gz,59824898,425875658,113288,269054,0,0,1.08
2020-08-12,18,2020-08-12-18.json.gz,58654907,423010928,111604,268315,0,0,1.07
2020-08-12,19,2020-08-12-19.json.gz,57802574,417885834,104432,298340,0,0,1.02
2020-08-12,20,2020-08-12-20.json.gz,59056885,427761468,104997,431904,0,0,1.05
2020-08-12,21,2020-08-12-21.json.gz,55615738,406949926,97678,172762,0,0,1.01
2020-08-12,22,2020-08-12-22.json.gz,46179704,330091599,83164,268684,0,0,0.83
2020-08-12,23,2020-08-12-23.json.gz,43406495,318363622,78327,313451,0,0,0.77
2022-08-17,0,2022-08-17-0.json.gz,65047735,499985580,125400,239288,0,0,1.21
2022-08-17,1,2022-08-17-1.json.gz,58719244,439011569,120978,187120,0,0,1.08
2022-08-17,2,2022-08-17-2.json.gz,63186656,478438441,133406,290046,0,0,1.16
2022-08-17,3,2022-08-17-3.json.gz,60394918,455141572,125880,194204,0,0,1.1
2022-08-17,4,2022-08-17-4.json.gz,61285726,470000495,119269,531999,0,0,1.14
2022-08-17,5,2022-08-17-5.json.gz,64388416,488766339,126891,289992,0,0,1.19
2022-08-17,6,2022-08-17-6.json.gz,75801511,581300348,150876,286821,0,0,1.43
2022-08-17,7,2022-08-17-7.json.gz,86053850,683357488,163086,709603,0,0,1.61
2022-08-17,8,2022-08-17-8.json.gz,94980073,746974679,173851,228420,0,0,1.9
2022-08-17,9,2022-08-17-9.json.gz,97637907,769986803,175247,245913,0,0,1.8
2022-08-17,10,2022-08-17-10.json.gz,92699360,726956268,170560,306038,0,0,1.72
2022-08-17,11,2022-08-17-11.json.gz,93088412,734221362,171819,243202,0,0,1.74
2022-08-17,12,2022-08-17-12.json.gz,96626600,749892324,191905,141076,0,0,1.8
2022-08-17,13,2022-08-17-13.json.gz,106332029,822040619,199369,314490,0,0,1.98
2022-08-17,14,2022-08-17-14.json.gz,103032539,805732819,193991,291775,0,0,1.92
2022-08-17,15,2022-08-17-15.json.gz,101375733,802963258,188895,288058,0,0,1.91
2022-08-17,16,2022-08-17-16.json.gz,90847377,714313325,179000,250574,0,0,1.71
2022-08-17,17,2022-08-17-17.json.gz,76591038,598902490,152341,250629,0,0,1.43
2022-08-17,18,2022-08-17-18.json.gz,81702538,642104189,160089,280272,0,0,1.53
2022-08-17,19,2022-08-17-19.json.gz,71682051,563440550,140486,314342,0,0,1.34
2022-08-17,20,2022-08-17-20.json.gz,77738790,600673601,147527,189135,0,0,1.44
2022-08-17,21,2022-08-17-21.json.gz,69919408,545638354,133274,218136,0,0,1.3
2022-08-17,22,2022-08-17-22.json.gz,59472654,468490298,119961,140538,0,0,1.13
2022-08-17,23,2022-08-17-23.json.gz,52935319,411145664,111875,153995,0,0,1.0
2024-08-14,0,2024-08-14-0.json.gz,77255430,568391996,181811,196428,0,0,1.41
2024-08-14,1,2024-08-14-1.json.gz,77858558,572450561,190909,358418,0,0,1.43
2024-08-14,2,2024-08-14-2.json.gz,77704315,555151820,158325,892624,0,0,1.4
2024-08-14,3,2024-08-14-3.json.gz,77661679,568167248,177970,532693,0,0,1.42
2024-08-14,4,2024-08-14-4.json.gz,70551390,529445365,154778,200566,0,0,1.32
2024-08-14,5,2024-08-14-5.json.gz,79758404,589967991,171342,206494,0,0,1.49
2024-08-14,6,2024-08-14-6.json.gz,93077001,693664851,202034,147016,0,0,1.72
2024-08-14,7,2024-08-14-7.json.gz,106819154,800930567,204845,283501,0,0,1.97
2024-08-14,8,2024-08-14-8.json.gz,116801367,877101070,220831,594118,0,0,2.14
2024-08-14,9,2024-08-14-9.json.gz,114501395,875259126,223380,1069750,1,0,2.14
2024-08-14,10,2024-08-14-10.json.gz,111492504,844030108,211245,283450,0,0,2.06
2024-08-14,11,2024-08-14-11.json.gz,110313967,844664539,211683,214811,0,0,2.04
2024-08-14,12,2024-08-14-12.json.gz,119414367,908985238,266137,315132,0,0,2.23
2024-08-14,13,2024-08-14-13.json.gz,128289561,979357980,243027,335247,0,0,2.39
2024-08-14,14,2024-08-14-14.json.gz,128506142,977538696,233812,272880,0,0,2.37
2024-08-14,15,2024-08-14-15.json.gz,128873336,976348329,239510,346983,0,0,2.38
2024-08-14,16,2024-08-14-16.json.gz,117474831,890668147,221099,264162,0,0,2.15
2024-08-14,17,2024-08-14-17.json.gz,113511855,852526106,216049,250678,0,0,2.06
2024-08-14,18,2024-08-14-18.json.gz,108259426,798452804,223567,173323,0,0,1.99
2024-08-14,19,2024-08-14-19.json.gz,103265672,771362980,199126,177188,0,0,1.87
2024-08-14,20,2024-08-14-20.json.gz,107143587,799093947,192533,299060,0,0,1.96
2024-08-14,21,2024-08-14-21.json.gz,94828538,691639223,182598,158945,0,0,1.71
2024-08-14,22,2024-08-14-22.json.gz,76201762,562702484,151955,885200,0,0,1.38
2024-08-14,23,2024-08-14-23.json.gz,170922,1297032,489,118732,0,0,0.01
2025-09-24,0,2025-09-24-0.json.gz,87775104,684643082,156267,288573,0,0,1.66
2025-09-24,1,2025-09-24-1.json.gz,74167183,533150270,164078,284427,0,0,1.32
2025-09-24,2,2025-09-24-2.json.gz,77471477,555424273,153463,298374,0,0,1.39
2025-09-24,3,2025-09-24-3.json.gz,76318207,546064094,155624,568759,0,0,1.35
2025-09-24,4,2025-09-24-4.json.gz,71936934,516791878,152318,276439,0,0,1.3
2025-09-24,5,2025-09-24-5.json.gz,78623392,555512739,151368,284011,0,0,1.4
2025-09-24,6,2025-09-24-6.json.gz,84222498,611385581,167229,276439,0,0,1.54
2025-09-24,7,2025-09-24-7.json.gz,90008574,656073339,165819,276439,0,0,1.61
2025-09-24,8,2025-09-24-8.json.gz,95607117,709710806,167162,276439,0,0,1.75
2025-09-24,9,2025-09-24-9.json.gz,94556929,697348587,167812,276439,0,0,1.71
2025-09-24,10,2025-09-24-10.json.gz,92136053,682672801,168113,293161,0,0,1.67
2025-09-24,11,2025-09-24-11.json.gz,91007483,676297612,168189,276439,0,0,1.66
2025-09-24,12,2025-09-24-12.json.gz,85405767,636547988,169526,276439,0,0,1.55
2025-09-24,13,2025-09-24-13.json.gz,93893161,714850538,170587,276439,0,0,1.73
2025-09-24,14,2025-09-24-14.json.gz,95956376,715051086,166644,276439,0,0,1.78
2025-09-24,15,2025-09-24-15.json.gz,92458371,680152082,164694,276439,0,0,1.65
2025-09-24,16,2025-09-24-16.json.gz,60737831,442410811,112718,266611,0,0,1.13
2025-09-24,17,2025-09-24-17.json.gz,93704000,686019867,171019,276439,0,0,1.77
2025-09-24,18,2025-09-24-18.json.gz,67726165,514569063,122204,245027,0,0,1.31
2025-09-24,19,2025-09-24-19.json.gz,99645237,772373853,169563,286769,0,0,1.88
2025-09-24,20,2025-09-24-20.json.gz,94714061,699224261,165069,276439,0,0,1.74
2025-09-24,21,2025-09-24-21.json.gz,94817523,687593500,165801,276439,0,0,1.74
2025-09-24,22,2025-09-24-22.json.gz,89322151,674854167,151618,276439,0,0,1.64
2025-09-24,23,2025-09-24-23.json.gz,78788257,597792916,148882,675567,0,0,1.48
